"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\AskButton\AskButton.cpp", "C++", 83, 6, 12, 101
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\AskButton\AskButton.h", "C++", 28, 0, 8, 36
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\main.cpp", "C++", 91, 14, 18, 123
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.cpp", "C++", 221, 20, 28, 269
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.h", "C++", 62, 2, 22, 86
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.cpp", "C++", 33, 1, 9, 43
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.h", "C++", 40, 0, 10, 50
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.cpp", "C++", 116, 15, 19, 150
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.h", "C++", 20, 0, 11, 31
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\pipePieces.h", "C++", 23, 110, 18, 151
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\setup.h", "C++", 15, 1, 9, 25
"Total", "-", 732, 169, 164, 1065
