"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\AskButton\AskButton.cpp", "C++", 83, 6, 12, 101
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\AskButton\AskButton.h", "C++", 28, 0, 8, 36
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\CompassConnector\CompassConnector.cpp", "C++", 221, 20, 28, 269
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\CompassConnector\CompassConnector.h", "C++", 62, 2, 22, 86
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\ConnectorManager\ConnectorManager.cpp", "C++", 70, 3, 14, 87
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\ConnectorManager\ConnectorManager.h", "C++", 22, 0, 12, 34
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\main.cpp", "C++", 145, 11, 38, 194
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\pipePieces.h", "C++", 22, 110, 18, 150
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\setup.h", "C++", 42, 5, 27, 74
"Total", "-", 695, 157, 179, 1031
