"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\main.cpp", "C++", 31, 0, 8, 39
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece\PuzzlePiece.cpp", "C++", 51, 10, 9, 70
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece\PuzzlePiece.h", "C++", 22, 2, 4, 28
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Heart\PuzzlePiece_heart.cpp", "C++", 37, 11, 8, 56
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Heart\PuzzlePiece_heart.h", "C++", 17, 0, 5, 22
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Ledpipe\PuzzlePiece_Ledpipe.cpp", "C++", 37, 11, 8, 56
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Ledpipe\PuzzlePiece_Ledpipe.h", "C++", 17, 0, 5, 22
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.cpp", "C++", -183, -17, -21, -221
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.h", "C++", -30, -2, -10, -42
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.cpp", "C++", 38, 1, 1, 40
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.h", "C++", 5, 0, 2, 7
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.cpp", "C++", 13, 1, 1, 15
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.h", "C++", 2, 0, 3, 5
"Total", "-", 57, 17, 23, 97
